日期,代號,名稱,市場,開盤價,最高價,最低價,收盤價,昨收價,漲跌幅%,成交張數,成交金額,均價,振幅%,可當沖
20260520,5546,永固-KY,上市,15.9,16.5,15.6,16.5,15.65,5.43,63,1005242,15.92,5.75,True
20260520,5607,遠雄港,上市,48.2,48.2,47.55,48.05,47.949999999999996,0.21,315,15066011,47.8,1.36,True
20260520,5608,四維航,上市,14.35,14.55,14.2,14.2,14.2,0.0,987,14129665,14.31,2.46,True
20260520,5706,鳳凰,上市,50.0,50.0,49.55,49.65,49.6,0.1,166,8252238,49.69,0.91,True
20260520,5871,中租-KY,上市,111.5,112.5,111.0,111.0,110.0,0.91,9406,1047815583,111.39,1.36,True
20260520,5876,上海商銀,上市,40.95,40.95,40.0,40.1,40.550000000000004,-1.11,8793,354457946,40.31,2.34,True
20260520,5880,合庫金,上市,22.9,22.9,22.7,22.7,22.8,-0.44,15588,354566847,22.75,0.88,True
20260520,5907,大洋-KY,上市,5.01,5.01,4.83,4.85,5.0,-3.0,465,2283427,4.9,3.6,True
20260520,6005,群益證,上市,30.6,30.95,30.4,30.6,30.650000000000002,-0.16,5232,160062979,30.59,1.79,True
20260520,6024,群益期,上市,55.9,56.2,55.7,55.8,56.0,-0.36,244,13649836,55.87,0.89,True
20260520,6108,競國,上市,18.8,19.4,18.75,19.0,18.5,2.7,1254,23841859,19.01,3.51,True
20260520,6112,邁達特,上市,41.75,42.4,41.2,42.0,41.75,0.6,349,14608878,41.84,2.87,True
20260520,6115,鎰勝,上市,46.5,47.0,46.5,47.0,46.65,0.75,68,3199057,46.82,1.07,True
20260520,6116,彩晶,上市,10.1,10.15,9.74,9.85,10.15,-2.96,31709,313759560,9.89,4.04,True
20260520,6117,迎廣,上市,80.8,80.8,78.0,79.0,79.8,-1.0,309,24461472,78.98,3.51,True
20260520,6120,達運,上市,12.8,12.85,12.5,12.85,12.65,1.58,1807,22948652,12.7,2.77,True
20260520,6128,上福,上市,19.05,19.05,18.8,18.8,19.05,-1.31,110,2088021,18.9,1.31,True
20260520,6133,金橋,上市,24.2,24.55,23.8,24.35,22.6,7.74,11799,285691553,24.21,3.32,True
20260520,6136,富爾特,上市,24.75,25.4,24.7,25.15,24.549999999999997,2.44,488,12314608,25.21,2.85,True
20260520,6139,亞翔,上市,738.0,754.0,708.0,720.0,738.0,-2.44,7377,5360428854,726.61,6.23,True
20260520,6141,柏承,上市,34.9,37.3,33.1,34.5,34.15,1.02,6659,234513014,35.21,12.3,True
20260520,6142,友勁,上市,7.77,7.94,7.77,7.83,7.84,-0.13,317,2498683,7.87,2.17,True
20260520,6152,百一,上市,14.9,15.4,14.9,14.95,15.149999999999999,-1.32,634,9534880,15.03,3.3,True
20260520,6153,嘉聯益,上市,18.0,18.1,17.3,17.55,17.7,-0.85,3120,54987163,17.62,4.52,True
20260520,6155,鈞寶,上市,51.0,55.9,50.8,55.9,50.9,9.82,8528,466659935,54.72,10.02,True
20260520,6164,華興,上市,11.7,11.85,11.65,11.7,11.649999999999999,0.43,141,1660620,11.75,1.72,True
20260520,6165,浪凡,上市,48.0,48.2,47.7,47.9,47.75,0.31,264,12680960,47.95,1.05,True
20260520,6166,凌華,上市,112.0,116.5,112.0,115.5,113.5,1.76,3127,358059285,114.48,3.96,True
20260520,6168,宏齊,上市,26.0,26.45,25.75,26.35,25.8,2.13,1703,44717493,26.25,2.71,True
20260520,6176,瑞儀,上市,103.0,105.0,100.0,104.5,102.0,2.45,7168,737610226,102.89,4.9,True
20260520,6177,達麗,上市,44.9,44.9,44.4,44.65,44.8,-0.33,914,40788666,44.59,1.12,True
20260520,6183,關貿,上市,92.4,92.4,91.5,92.2,91.60000000000001,0.66,34,3168335,91.7,0.98,True
20260520,6184,大豐電,上市,46.1,46.1,46.0,46.05,46.55,-1.07,25,1180919,46.05,0.21,True
20260520,6189,豐藝,上市,48.9,51.9,48.9,51.1,48.550000000000004,5.25,4043,205339391,50.78,6.18,True
20260520,6191,精成科,上市,93.0,94.5,91.9,94.2,92.8,1.51,4627,431968513,93.35,2.8,True
20260520,6192,巨路,上市,124.0,126.5,124.0,126.0,124.0,1.61,192,24092331,125.26,2.02,True
20260520,6196,帆宣,上市,405.5,412.0,399.0,404.0,405.0,-0.25,1554,630377599,405.53,3.21,True
20260520,6197,佳必琪,上市,217.0,219.5,213.0,217.0,216.0,0.46,1598,345413186,216.06,3.01,True
20260520,6201,亞弘電,上市,46.7,46.95,46.7,46.95,46.7,0.54,21,1015166,46.84,0.54,True
20260520,6202,盛群,上市,52.3,56.7,51.6,55.6,52.300000000000004,6.31,3859,213127348,55.23,9.75,True
20260520,6205,詮欣,上市,73.8,74.9,72.2,72.5,73.8,-1.76,1173,86089806,73.37,3.66,True
20260520,6206,飛捷,上市,129.5,131.0,126.5,131.0,129.5,1.16,1556,201234694,129.28,3.47,True
20260520,6209,今國光,上市,76.3,78.9,76.0,78.9,71.80000000000001,9.89,17710,1389715934,78.47,4.04,True
20260520,6213,聯茂,上市,241.0,241.0,230.0,236.5,240.5,-1.66,9834,2296947327,233.57,4.57,True
20260520,6214,精誠,上市,125.0,125.5,123.0,124.0,123.5,0.4,577,71603166,123.93,2.02,True
20260520,6215,和椿,上市,123.5,124.0,119.0,122.0,123.5,-1.21,3095,377071846,121.79,4.05,True
20260520,6216,居易,上市,22.1,22.4,22.1,22.4,22.099999999999998,1.36,167,3724319,22.28,1.36,True
20260520,6224,聚鼎,上市,73.1,79.7,72.3,79.7,72.5,9.93,3739,288611142,77.18,10.21,True
20260520,6225,天瀚,上市,26.95,27.5,26.95,26.95,28.8,-6.42,22,605184,27.17,1.91,True
20260520,6226,光鼎,上市,12.0,12.45,11.7,12.3,11.950000000000001,2.93,944,11394062,12.07,6.28,True
